Record_ID,Date,Actual_Quantity,Counted_Quantity,Count_Accurate,Error_Type,Error_Amount,Error_Percentage,Count_Time_Seconds,Staff_ID,Staff_Experience_Years,Staff_Training,Staff_Role,Product_Type,Product_Subtype,Packaging,Location,Time_of_Day,Day_of_Week,End_of_Month,Scanner_Battery,Scanner_Model,Scanner_Calibrated,ERP_Status,WiFi_Strength,Count_Method,Inventory_Review_Type,Location_Type
REC0001,2023-03-03,322,270,False,Undercount,52,16.149068322981368,73,5,14,Advanced,Pharmacy Staff,Drug,Refrigerated,Blister Pack,Storage Room - Drugs,Evening,Monday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Storage
REC0002,2023-08-10,1276,1276,True,None,0,0.0,568,5,14,Advanced,Pharmacy Staff,Medical Device,Diagnostic,Box,Shop Floor - Zone B,Morning,Monday,False,Medium,Old Model,False,Slow,Normal,Scanner Count,Quarterly Stock-take,Shop Floor
REC0003,2023-12-14,41,41,True,None,0,0.0,39,7,3,Advanced,Pharmacy Staff,Miscellaneous,Hygiene,Individual,Shop Floor - Zone B,Morning,Saturday,False,Low,Current Model,True,Normal,Normal,Manual Count,Ad-hoc Check,Shop Floor
REC0004,2023-02-21,1066,1066,True,None,0,0.0,512,12,6,Advanced,Warehouse Team,Medical Device,Therapeutic,Box,Shop Floor - Zone A,Morning,Tuesday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor
REC0005,2023-07-03,14496,14496,True,None,0,0.0,7555,17,3,Intermediate,Warehouse Team,Drug,Refrigerated,Bottle,Warehouse - Shop Building Ground Floor,Afternoon,Thursday,False,Low,Current Model,True,Normal,Weak,Scanner Count,Quarterly Stock-take,Warehouse
REC0006,2023-05-08,2337,2337,True,None,0,0.0,994,7,3,Advanced,Pharmacy Staff,Miscellaneous,Hygiene,Bottle,Storage Room - Drugs,Afternoon,Saturday,False,High,Current Model,True,Slow,Normal,Scanner Count,Regular Stock Check,Storage
REC0007,2023-08-21,2619,2619,True,None,0,0.0,4136,3,4,Intermediate,Pharmacy Staff,Drug,Refrigerated,Box,Warehouse - Shop Building Ground Floor,Morning,Thursday,False,Low,Old Model,False,Normal,Weak,Manual Count,Quarterly Stock-take,Warehouse
REC0008,2023-07-27,8,8,True,None,0,0.0,10,9,6,Advanced,Pharmacy Staff,Medical Device,Surgical,Individual,Shop Floor - Zone C,Evening,Friday,True,Medium,Current Model,True,Normal,Normal,Scanner Count,Ad-hoc Check,Shop Floor
REC0009,2023-10-11,388,388,True,None,0,0.0,289,15,3,Basic,Pharmacy Staff,Drug,Prescription,Blister Pack,Shop Floor - Zone C,Evening,Friday,False,Low,New Model,True,Normal,Normal,Scanner Count,Ad-hoc Check,Shop Floor
REC0010,2023-04-26,231,231,True,None,0,0.0,108,1,7,Intermediate,Pharmacy Staff,Drug,Refrigerated,Blister Pack,Shop Floor - Zone B,Afternoon,Friday,True,High,Old Model,True,Maintenance Mode,Normal,Scanner Count,Quarterly Stock-take,Shop Floor
