Item_ID,True_Quantity,Standard,Pharmacy Staff_1,Pharmacy Staff_2,Team Leader_1,Team Leader_2,Warehouse Team_1,Warehouse Team_2
ITEM001,71,Accurate,Undercount,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM002,17,Accurate,Accurate,Accurate,Accurate,Accurate,Overcount,Accurate
ITEM003,15,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM004,91,Accurate,Accurate,Accurate,Accurate,Accurate,Undercount,Accurate
ITEM005,17,Accurate,Accurate,Undercount,Accurate,Accurate,Accurate,Accurate
ITEM006,40,Accurate,Overcount,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM007,94,Accurate,Overcount,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM008,94,Accurate,Accurate,Accurate,Accurate,Accurate,Overcount,Accurate
ITEM009,12,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM010,5,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM011,8,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM012,12,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM013,12,Accurate,Accurate,Accurate,Accurate,Accurate,Overcount,Accurate
ITEM014,7,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM015,10,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM016,9,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM017,21,Accurate,Accurate,Accurate,Accurate,Undercount,Accurate,Accurate
ITEM018,12,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM019,16,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM020,49,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM021,6,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM022,2,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM023,83,Accurate,Accurate,Accurate,Undercount,Accurate,Accurate,Accurate
ITEM024,12,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM025,5,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM026,5,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM027,16,Accurate,Accurate,Overcount,Accurate,Accurate,Accurate,Accurate
ITEM028,10,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM029,41,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM030,17,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM031,16,Accurate,Undercount,Accurate,Undercount,Accurate,Accurate,Accurate
ITEM032,13,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM033,1,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM034,78,Accurate,Overcount,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM035,19,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM036,61,Accurate,Accurate,Undercount,Accurate,Accurate,Accurate,Accurate
ITEM037,20,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM038,79,Accurate,Accurate,Undercount,Accurate,Accurate,Undercount,Accurate
ITEM039,15,Accurate,Accurate,Accurate,Accurate,Overcount,Accurate,Accurate
ITEM040,18,Accurate,Overcount,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM041,81,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM042,66,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM043,14,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM044,7,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM045,16,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM046,7,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM047,4,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM048,83,Accurate,Accurate,Undercount,Accurate,Accurate,Overcount,Accurate
ITEM049,22,Accurate,Accurate,Undercount,Accurate,Accurate,Overcount,Accurate
ITEM050,5,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM051,70,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM052,7,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM053,5,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM054,92,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM055,7,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM056,6,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM057,8,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM058,79,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM059,33,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
ITEM060,2,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate,Accurate
