Item_ID,Appraiser,Trial,Counted_Quantity,True_Quantity,Standard,Exact_Match,Acceptable,Category
ITEM001,Pharmacy Staff,1,8,7,7,False,True,Accurate
ITEM001,Pharmacy Staff,2,7,7,7,True,True,Accurate
ITEM001,Warehouse Team,1,7,7,7,True,True,Accurate
ITEM001,Warehouse Team,2,7,7,7,True,True,Accurate
ITEM001,Team Leader,1,8,7,7,False,True,Accurate
ITEM001,Team Leader,2,7,7,7,True,True,Accurate
ITEM002,Pharmacy Staff,1,8,8,8,True,True,Accurate
ITEM002,Pharmacy Staff,2,8,8,8,True,True,Accurate
ITEM002,Warehouse Team,1,8,8,8,True,True,Accurate
ITEM002,Warehouse Team,2,8,8,8,True,True,Accurate
ITEM002,Team Leader,1,8,8,8,True,True,Accurate
ITEM002,Team Leader,2,8,8,8,True,True,Accurate
ITEM003,Pharmacy Staff,1,13,13,13,True,True,Accurate
ITEM003,Pharmacy Staff,2,13,13,13,True,True,Accurate
ITEM003,Warehouse Team,1,13,13,13,True,True,Accurate
ITEM003,Warehouse Team,2,13,13,13,True,True,Accurate
ITEM003,Team Leader,1,13,13,13,True,True,Accurate
ITEM003,Team Leader,2,12,13,13,False,True,Accurate
ITEM004,Pharmacy Staff,1,18,19,19,False,True,Accurate
ITEM004,Pharmacy Staff,2,19,19,19,True,True,Accurate
ITEM004,Warehouse Team,1,20,19,19,False,True,Accurate
ITEM004,Warehouse Team,2,19,19,19,True,True,Accurate
ITEM004,Team Leader,1,19,19,19,True,True,Accurate
ITEM004,Team Leader,2,19,19,19,True,True,Accurate
ITEM005,Pharmacy Staff,1,12,11,11,False,True,Accurate
ITEM005,Pharmacy Staff,2,13,11,11,False,False,Overcount
ITEM005,Warehouse Team,1,11,11,11,True,True,Accurate
ITEM005,Warehouse Team,2,9,11,11,False,False,Undercount
ITEM005,Team Leader,1,11,11,11,True,True,Accurate
ITEM005,Team Leader,2,11,11,11,True,True,Accurate
ITEM006,Pharmacy Staff,1,8,8,8,True,True,Accurate
ITEM006,Pharmacy Staff,2,8,8,8,True,True,Accurate
ITEM006,Warehouse Team,1,7,8,8,False,True,Accurate
ITEM006,Warehouse Team,2,8,8,8,True,True,Accurate
ITEM006,Team Leader,1,8,8,8,True,True,Accurate
ITEM006,Team Leader,2,8,8,8,True,True,Accurate
ITEM007,Pharmacy Staff,1,64,80,80,False,False,Undercount
ITEM007,Pharmacy Staff,2,79,80,80,False,True,Accurate
ITEM007,Warehouse Team,1,80,80,80,True,True,Accurate
ITEM007,Warehouse Team,2,81,80,80,False,True,Accurate
ITEM007,Team Leader,1,79,80,80,False,True,Accurate
ITEM007,Team Leader,2,80,80,80,True,True,Accurate
ITEM008,Pharmacy Staff,1,5,5,5,True,True,Accurate
ITEM008,Pharmacy Staff,2,5,5,5,True,True,Accurate
ITEM008,Warehouse Team,1,5,5,5,True,True,Accurate
ITEM008,Warehouse Team,2,5,5,5,True,True,Accurate
ITEM008,Team Leader,1,5,5,5,True,True,Accurate
ITEM008,Team Leader,2,5,5,5,True,True,Accurate
ITEM009,Pharmacy Staff,1,93,94,94,False,True,Accurate
ITEM009,Pharmacy Staff,2,95,94,94,False,True,Accurate
ITEM009,Warehouse Team,1,95,94,94,False,True,Accurate
ITEM009,Warehouse Team,2,94,94,94,True,True,Accurate
ITEM009,Team Leader,1,93,94,94,False,True,Accurate
ITEM009,Team Leader,2,94,94,94,True,True,Accurate
ITEM010,Pharmacy Staff,1,76,94,94,False,False,Undercount
ITEM010,Pharmacy Staff,2,93,94,94,False,True,Accurate
ITEM010,Warehouse Team,1,94,94,94,True,True,Accurate
ITEM010,Warehouse Team,2,95,94,94,False,True,Accurate
