Record_ID,Date,Actual_Quantity,Counted_Quantity,Count_Accurate,Error_Type,Error_Amount,Error_Percentage,Count_Time_Seconds,Staff_ID,Staff_Experience_Years,Staff_Training,Staff_Role,Product_Type,Product_Subtype,Packaging,Location,Time_of_Day,Day_of_Week,End_of_Month,Scanner_Battery,Scanner_Model,Scanner_Calibrated,ERP_Status,WiFi_Strength,Count_Method,Inventory_Review_Type,Location_Type,Product_ID,Special_Cause
REC0001,2023-12-31,89,89,True,None,0,0.0,50.0,8,3,Intermediate,Pharmacy Staff,Miscellaneous,Baby Care,Individual,Shop Floor - Zone B,Morning,Wednesday,True,Low,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0001,None
REC0002,2023-11-11,600,600,True,None,0,0.0,460.0,8,3,Intermediate,Pharmacy Staff,Medical Device,Therapeutic,Box,Warehouse - Main Building 3rd Floor,Evening,Saturday,False,High,Current Model,False,Normal,Weak,Scanner Count,Quarterly Stock-take,Warehouse,P0002,None
REC0003,2023-02-19,3525,3728,False,Overcount,203,5.75886524822695,1466.0,10,6,Advanced,Warehouse Team,Drug,OTC,Blister Pack,Storage Room - Drugs,Evening,Wednesday,False,High,Current Model,True,Normal,Weak,Scanner Count,Quarterly Stock-take,Storage,SP001,Similar Packaging Confusion
REC0004,2023-02-21,22,22,True,None,0,0.0,16.0,17,2,Basic,Pharmacy Staff,Drug,Controlled,Tube,Warehouse - Shop Building Ground Floor,Morning,Friday,False,Low,Current Model,True,Normal,Weak,Scanner Count,Ad-hoc Check,Warehouse,P0004,None
REC0005,2023-03-10,1000,1000,True,None,0,0.0,636.0,18,6,Intermediate,Pharmacy Staff,Drug,Refrigerated,Blister Pack,Shop Floor - Zone A,Evening,Tuesday,False,High,Current Model,False,Normal,Normal,Combined Method,Regular Stock Check,Shop Floor,P0005,None
REC0006,2023-02-12,42,42,True,None,0,0.0,68.06962461783452,101,0,Basic,Pharmacy Staff,Miscellaneous,First Aid,Tube,Shop Floor - Zone B,Morning,Tuesday,False,Low,Current Model,True,Maintenance Mode,Normal,Combined Method,Regular Stock Check,Shop Floor,P0006,New Employee Training
REC0007,2023-07-12,936,936,True,None,0,0.0,568.0,15,3,Intermediate,Pharmacy Staff,Drug,Refrigerated,Blister Pack,Warehouse - Shop Building Ground Floor,Evening,Saturday,False,Medium,Current Model,False,Maintenance Mode,Normal,Scanner Count,Regular Stock Check,Warehouse,P0007,None
REC0008,2023-02-08,93,93,True,None,0,0.0,55.0,3,3,Intermediate,Warehouse Team,Miscellaneous,First Aid,Individual,Shop Floor - Zone B,Morning,Sunday,False,Medium,Current Model,True,Slow,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0008,None
REC0009,2023-04-06,2952,3390,False,Overcount,438,14.83739837398374,3572.0,13,3,Basic,Pharmacy Staff,Drug,Controlled,Bottle,Warehouse - Shop Building Ground Floor,Afternoon,Monday,False,High,Old Model,False,Normal,Normal,Manual Count,Regular Stock Check,Warehouse,P0009,None
REC0010,2023-09-05,5790,5790,True,None,0,0.0,4230.0,20,15,Advanced,Team Leader,Drug,Refrigerated,Box,Shop Floor - Zone A,Evening,Tuesday,False,Medium,Current Model,False,Slow,Weak,Manual Count,Quarterly Stock-take,Shop Floor,P0010,None
REC0011,2023-08-27,950,950,True,None,0,0.0,391.0,16,7,Intermediate,Pharmacy Staff,Drug,Prescription,Blister Pack,Shop Floor - Zone B,Morning,Thursday,True,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0011,None
REC0012,2023-06-25,8955,8955,True,None,0,0.0,12106.0,7,4,Intermediate,Pharmacy Staff,Drug,Refrigerated,Box,Shop Floor - Zone A,Evening,Sunday,True,High,New Model,True,Normal,Normal,Manual Count,Regular Stock Check,Shop Floor,P0012,None
REC0013,2023-10-23,720,720,True,None,0,0.0,473.0,10,6,Advanced,Warehouse Team,Miscellaneous,Baby Care,Box,Storage Room - Drugs,Afternoon,Tuesday,False,High,Old Model,True,Normal,Weak,Combined Method,Quarterly Stock-take,Storage,P0013,None
REC0014,2023-06-16,90,101,False,Overcount,11,12.222222222222221,76.0,3,3,Intermediate,Warehouse Team,Miscellaneous,Baby Care,Individual,Shop Floor - Zone A,Morning,Thursday,False,High,New Model,False,Maintenance Mode,Normal,Combined Method,Regular Stock Check,Shop Floor,P0014,None
REC0015,2023-10-28,376,376,True,None,0,0.0,248.0,13,3,Basic,Pharmacy Staff,Medical Device,Therapeutic,Blister Pack,Shop Floor - Zone B,Afternoon,Monday,True,Medium,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0015,None
REC0016,2023-12-22,8358,7497,False,Undercount,861,10.301507537688442,3247.636483027618,204,1,Basic,Pharmacy Staff,Drug,Controlled,Box,Shop Floor - Zone B,Afternoon,Friday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0016,Holiday Rush
REC0017,2023-05-04,30,30,True,None,0,0.0,37.0,5,8,Intermediate,Warehouse Team,Medical Device,Therapeutic,Individual,Warehouse - Main Building 3rd Floor,Evening,Wednesday,False,High,Current Model,True,Slow,Weak,Manual Count,Quarterly Stock-take,Warehouse,P0017,None
